StatLevel/internal05,"老陽"
Story/D_8_2_6_2_4_023,"大家別慌，唐門的暗器、機關就那幾件！ 南宮家主、上官大人都給我們透過他們底細了，只要不過份欺近， 一股作氣攻破堡壘大門，就是我們勝了！"
Story/D_8_2_6_2_4_022,"我這就去著手準備！"
Story/D_8_2_6_2_4_021,"現在就是緊要關頭了！"
Story/D_8_2_6_2_4_020,"不、不行啊，師嫂三番五次交代，除非緊要關頭，不能動用！ 你們都忘了嗎？"
Story/D_8_2_6_2_4_019,"你說的，莫非是……那件事物嗎？"
Story/D_8_2_6_2_4_018,"什麼秘密武器？"
Story/D_8_2_6_2_4_017,"？"
Story/D_8_2_6_2_4_016,"是時候動用秘密武器了。"
Story/D_8_2_6_2_4_015,"是！！"
Story/D_8_2_6_2_4_014,"他們來了，準備好作戰。"
Story/D_8_2_6_2_4_013,"武林盟群俠，隨我南宮某人出陣，包圍外堡！"
Story/D_8_2_6_2_4_012,"是，承蒙世伯提攜栽培。"
Story/D_8_2_6_2_4_011,"南宮世家的污名，就靠你洗刷了，賢姪可得爭氣。"
Story/D_8_2_6_2_4_010,"記住，這是你最後一次機會。 要是你足以證明南宮世家依然可靠，螢兒的終身還有轉寰餘地。"
Story/D_8_2_6_2_4_009,"可以，你是軍師，你來指揮便了。"
Story/D_8_2_6_2_4_008,"事到如今再想取巧也難，不如正攻！"
Story/D_8_2_6_2_4_007,"覺空老和尚派不上用場，接下來你打算如何？"
Story/D_8_2_6_2_4_006,"武林盟群俠，隨我南宮某人出陣，包圍外堡！"
Story/D_8_2_6_2_4_005,"年輕人別這麼氣憤，宮主這不是兌現了諾言嗎？ 兵不血刃就開門，隨即關上罷了。"
Story/D_8_2_6_2_4_004,"豈有此理！"
Story/D_8_2_6_2_4_003,"豈有此理……。"
Story/D_8_2_6_2_4_002,"老衲早說，那干魔教妖女絕非善類！罪過，罪過。"
Story/D_8_2_6_2_4_001,"……你看來是中計了啊，賢姪。"
Story/D_8_2_6_2_3_030,"咱們能不那麼較真嗎？"
Story/D_8_2_6_2_3_029,"你既然說我河東獅吼，我可不能讓你失望，總之以後你別想好過。"
Story/D_8_2_6_2_3_028,"哎唷，饒命。"
Story/D_8_2_6_2_3_027,"你敢損我是吧？"
Story/D_8_2_6_2_3_026,"那倒也是。"
Story/D_8_2_6_2_3_025,"聲波氣功要運內力激盪空氣。 又不是比大聲就贏的，要不然派妳上場，誰是對手？"
Story/D_8_2_6_2_3_024,"原來你也可以叫這麼大聲。"
Story/D_8_2_6_2_3_023,"是，弟子也是情非得已。"
Story/D_8_2_6_2_3_022,"聒噪的弟子，叫得真難聽，下回別叫了。"
Story/D_8_2_6_2_3_021,"師兄好厲害。"
Story/D_8_2_6_2_3_020,"佩服，趙兄，論內功，我是遠遠不如你了。"
Story/D_8_2_6_2_3_019,"師兄！你成功了！那老頭滾蛋了！"
Story/D_8_2_6_2_3_018,"那小子內功修為不淺，要令他內力耗盡枯竭而死並非難事， 可老夫也必消耗不輕，太不划算。"
Story/D_8_2_6_2_3_017,"晚輩絕無此意。"
Story/D_8_2_6_2_3_016,"你想用激將法？呵，老夫吃的鹽比你吃的米飯還多， 當我穿得像野人就沒見識嗎。"
Story/D_8_2_6_2_3_015,"……可是那小子內功造詣遠超想像，前輩一時難以拾奪？"
Story/D_8_2_6_2_3_014,"是。"
Story/D_8_2_6_2_3_013,"這些恭維話就省了，你說的潤喉藥拿來。"
Story/D_8_2_6_2_3_012,"前輩哪來的話？晚輩素來敬仰萬里前──"
Story/D_8_2_6_2_3_011,"你有這麼好心？ 我看你古怪得很，老夫催敵不成，你卻像鬆了一口氣。"
Story/D_8_2_6_2_3_010,"不，已經偏勞前輩，怎敢厚顏咄叱？ 南宮世家有潤喉滋補的糖藥，敬獻前輩。"
Story/D_8_2_6_2_3_009,"怎麼，不滿嗎？有怨言要說。"
Story/D_8_2_6_2_3_008,"……。"
Story/D_8_2_6_2_3_007,"什麼這是那是？嗓子啞了，不喊了。"
Story/D_8_2_6_2_3_006,"前輩，您這是……？"
Story/D_8_2_6_2_3_005,"嘿，對面也有這樣的高手。"
Story/T_8_2_6_2_3_001,"嘿，那姓趙的小子是唐門子弟，內功造詣卻還可以，真是怪胎。"
Story/T_8_2_6_2_3_003,"倘若瑞郎在此，就足與萬里前輩一拚了，沒辦法。"
Story/T_8_2_6_2_3_002,"現在只能說是勉強壓住，再吼的話，支持不了多久。 迫不得已，我只好出堡去跟萬里前輩鬥上一鬥。"
Story/D_8_2_6_2_3_004,"不至於震撼內息，獅吼功便不足為懼了。"
Story/D_8_2_6_2_3_003,"但是有效，抵銷了大半，這樣的話，一時半會兒還撐得住。"
Story/D_8_2_6_2_3_002,"內力差太多了，壓不住……！"
Story/D_8_2_6_2_3_001,"我上堡樓去。"
Story/D_8_2_6_2_2_034,"哈哈哈，這下氣勢足了，可以開戰了。"
Story/D_8_2_6_2_2_033,"咱們能不那麼較真嗎？"
Story/D_8_2_6_2_2_032,"你既然說我河東獅吼，我可不能讓你失望，總之以後你別想好過。"
Story/D_8_2_6_2_2_031,"哎唷，饒命。"
Story/D_8_2_6_2_2_030,"你敢損我是吧？"
Story/D_8_2_6_2_2_029,"罵人妳最行，其實壓根不需旁人出手， 河東獅吼有妳一個足矣。"
Story/D_8_2_6_2_2_028,"怎麼樣，我也有出力喔。"
Story/D_8_2_6_2_2_027,"說的也是。"
Story/D_8_2_6_2_2_026,"當然沒有，我能做那種沒品的事情嗎？"
Story/D_8_2_6_2_2_025,"師父，妳也有跟著喊嗎？"
Story/D_8_2_6_2_2_024,"妳也隨大家一起喊嗎？ 從沒聽妳大叫，可惡，錯過了。"
Story/D_8_2_6_2_2_023,"沒聲音了。"
Story/D_8_2_6_2_2_022,"咳咳。"
Story/D_8_2_6_2_2_021,"師兄，剛才──"
Story/D_8_2_6_2_2_020,"哈哈哈！我從來沒這麼大喊過，嗓子都啞了。"
Story/D_8_2_6_2_2_019,"師兄！我們成功了！那老頭滾蛋了！"
Story/D_8_2_6_2_2_018,"本來佛門獅子吼便是降服外道的神通。 獅子一吼，百獸皆死，喻佛說法，魔外消亡。 他們大膽無畏，不見得便是妖邪，不為獅吼所傷，也是理所當然。"
Story/D_8_2_6_2_2_017,"原來是這樣。"
Story/D_8_2_6_2_2_016,"你懂個屁？獅吼功是以聲波挾帶內力傷人，他們瞎喊自然不能相消。 但耳畔所聞皆是自己人的喊聲，老夫的嘯聲影響自然大減。"
Story/D_8_2_6_2_2_015,"對面的只是瞎喊，也能與獅吼功抗衡嗎？"
Story/D_8_2_6_2_2_014,"是。"
Story/D_8_2_6_2_2_013,"這些恭維話就省了，你說的潤喉藥拿來。"
Story/D_8_2_6_2_2_012,"前輩哪來的話？晚輩素來敬仰萬里前──"
Story/D_8_2_6_2_2_011,"你有這麼好心？ 我看你古怪得很，老夫催敵不成，你卻像鬆了一口氣。"
Story/D_8_2_6_2_2_010,"不，已經偏勞前輩，怎敢厚顏咄叱？ 南宮世家有潤喉滋補的糖藥，敬獻前輩。"
Story/D_8_2_6_2_2_009,"怎麼，不滿嗎？有怨言要說。"
Story/D_8_2_6_2_2_008,"……。"
Story/D_8_2_6_2_2_007,"什麼這是那是？嗓子啞了，不喊了。"
Story/D_8_2_6_2_2_006,"前輩，您這是……？"
Story/D_8_2_6_2_2_005,"嘿，對面的倒有骨氣，還敢應聲。"
Story/D_8_2_6_2_2_004,"噢────！！"
Story/D_8_2_6_2_2_003,"好！"
Story/D_8_2_6_2_2_002,"趙大俠，你我上堡樓去，發聲長嘯，激勵士氣！"
Story/D_8_2_6_2_2_001,"雖然內力不及對方，但是聲波功我也練過。 要比誰更吵，我可不見得便輸，走，上堡樓去。"
Story/D_8_2_6_2_1_031,"師姊妹們，快隨我退入外堡，以免武林盟的壞人追擊！"
Story/D_8_2_6_2_1_030,"當然！"
Story/D_8_2_6_2_1_029,"沒、沒事，當然信得過啦。"
Story/D_8_2_6_2_1_028,"弟，你怎麼啦？"
Story/T_8_2_6_2_1_002,"應該不會是假意投誠，實則打算裡應外合對付我們吧？"
Story/D_8_2_6_2_1_027,"當然信得過，對嗎？"
Story/D_8_2_6_2_1_047,"那當然。"
Story/D_8_2_6_2_1_046,"趙少俠，你連我都信得過，總不能信不過錦香宮吧。"
Story/D_8_2_6_2_1_026,"還不開門放我們進去，總不能是信不過自家姊妹。"
Story/D_8_2_6_2_1_025,"是！"
Story/D_8_2_6_2_1_024,"不哭了，以後大家還在一起！"
Story/D_8_2_6_2_1_023,"龍師妹，都說妳長大了，怎麼還是愛哭包。"
Story/T_8_2_6_2_1_005,"掃興，又沒打成。"
Story/D_8_2_6_2_1_022,"真的太好了……嗚～"
Story/D_8_2_6_2_1_021,"妳們……太好了，太好了！"
Story/D_8_2_6_2_1_020,"一個也沒有！有恩報恩，有仇報仇！我們幫唐門！"
Story/D_8_2_6_2_1_019,"妳想，武林盟迫害錦香宮、害死了宮主，此仇不共戴天。 不找他們算帳就算忍辱負重了，有哪個沒血沒淚的會跟他們同流合污？ 師姊妹們，妳們來告訴這個傻師妹。"
Story/D_8_2_6_2_1_018,"真是的話我也不怕，都一起生活那麼久了。 我只怕……只怕必須跟妳們兵戎相見。"
Story/D_8_2_6_2_1_017,"我說不定真是哦？化皮妖，千面鬼。"
Story/D_8_2_6_2_1_016,"什麼啦，我哪裡說不對了，人本來就不能吃人。 除非師姊是妖魔化身。"
Story/D_8_2_6_2_1_015,"哈哈哈，師姊，妳說這個她聽不懂啦！"
Story/T_8_2_6_2_1_004,"這是什麼……戰慄？不，是更純粹的……我在畏懼她。 這人究竟何方神聖？"
Story/D_8_2_6_2_1_048,"南女俠看著滋味兒也不壞。 嶺南瘴厲之地，原來也生得出這樣精緻的人兒。"
Story/D_8_2_6_2_1_014,"我是人，怎麼能吃。"
Story/D_8_2_6_2_1_013,"哦呵呵呵呵，我的笨師妹啊，笨也要有個限度。 妳不知妳笨的討人喜歡嗎？再讓師姊我心癢難搔，沒準會把妳生吞活剝。"
Story/D_8_2_6_2_1_012,"怎麼……大家都完全不驚訝的樣子，妳們全都知道？"
